House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
31,Clayton Brooks,Wayne,Nicholson,49,None,Single,Male,Outdoor activities/education manager,None,Christian
32,Clayton Brooks,Diana,Farrell,24,Head,Single,Female,Contractor,None,None
32,Clayton Brooks,Jack,Smith,53,Cousin,Divorced,Male,"Surveyor, commercial/residential",None,Methodist
33,Clayton Brooks,Lydia,Hodgson,46,Head,Married,Female,Operational researcher,None,Methodist
33,Clayton Brooks,Eric,Hodgson,47,Husband,Married,Male,Chartered loss adjuster,None,Methodist
33,Clayton Brooks,Jacqueline,Hodgson,10,Daughter,NA,Female,Student,None,NA
34,Clayton Brooks,Clare,Harper,28,Head,Widowed,Female,Video editor,None,None
34,Clayton Brooks,Amanda,Waters,26,Cousin,Single,Female,Systems developer,None,None
34,Clayton Brooks,Geoffrey,Green,35,Lodger,Divorced,Male,Adult nurse,None,None
34,Clayton Brooks,Nicole,Jennings,32,Lodger,Single,Female,Newspaper journalist,None,None
34,Clayton Brooks,Leigh,Bailey,60,Lodger,Divorced,Male,Arboriculturist,None,None
35,Clayton Brooks,Robert,Bird,36,Head,Divorced,Male,Private music teacher,None,None
35,Clayton Brooks,Ruth,Bird,19,Daughter,Single,Female,University Student,None,None
35,Clayton Brooks,Jessica,Bird,18,Daughter,Single,Female,Student,None,None
36,Clayton Brooks,Amy,Hudson,41,Head,Single,Female,Unemployed,None,None
36,Clayton Brooks,Grace,Hudson,9,Daughter,NA,Female,Student,None,NA
37,Clayton Brooks,Naomi,Johnson,43,Head,Divorced,Female,Paediatric nurse,None,None
37,Clayton Brooks,Lorraine,Johnson,4,Daughter,NA,Female,Child,None,NA
37,Clayton Brooks,Katie,Johnson,1,Daughter,NA,Female,Child,None,NA
37,Clayton Brooks,Scott,Sharpe,29,Visitor,Single,Male,Herpetologist,None,None
37,Clayton Brooks,Philip,Murphy,28,Sibling,Divorced,Male,Speech and language therapist,None,Methodist
38,Clayton Brooks,Jack,McDonald,29,Head,Single,Male,Occupational psychologist,None,Muslim
39,Clayton Brooks,Holly,Clarke,43,Head,Single,Female,"Sound technician, broadcasting/film/video",None,Christian
39,Clayton Brooks,Jordan,Simmons,46,None,Single,Male,"Engineer, communications",None,Christian
39,Clayton Brooks,Sian,Cooper,51,None,Single,Female,"Scientist, marine",None,Christian
39,Clayton Brooks,Dale,Jackson,19,None,Single,Male,University Student,None,None
39,Clayton Brooks,Kerry,Richardson,21,None,Single,Female,University Student,None,Christian
1,Portsmouth Park,Molly,Smith,73,Head,Widowed,Female,"Retired Scientist, water quality",None,None
2,Portsmouth Park,Owen,Baxter,25,Head,Single,Male,"Accountant, chartered",None,None
3,Portsmouth Park,Clive,Perry,86,Head,Widowed,Male,Retired Fisheries officer,None,Christian
4,Portsmouth Park,Dean,Anderson,55,Head,Divorced,Male,Unemployed,None,Christian
4,Portsmouth Park,Paul,Anderson,0,Son,NA,Male,Child,None,NA
5,Portsmouth Park,Roy,Martin,80,Head,Divorced,Male,Retired Corporate treasurer,None,None
6,Portsmouth Park,Joan,Pollard,27,Head,Single,Female,Agricultural consultant,None,None
7,Portsmouth Park,Clare,Baker,68,Head,Married,Female,Retired Chief Operating Officer,None,None
7,Portsmouth Park,Simon,Baker,70,Husband,Married,Male,Retired Animal technologist,None,None
7,Portsmouth Park,Christian,Baker,32,Son,Single,Male,Hospital doctor,None,None
8,Portsmouth Park,Carole,Vaughan,82,Head,Widowed,Female,Retired Adult nurse,None,None
1,Smith Manors,Sheila,Reid,27,Head,Married,Female,Architect,None,None
1,Smith Manors,Terry,Reid,29,Husband,Married,Male,Environmental consultant,None,None
1,Smith Manors,Matthew,Reid,10,Son,NA,Male,Student,None,NA
2,Smith Manors,Leanne,Thompson,35,Head,Married,Female,Firefighter,None,None
2,Smith Manors,Jay,Thompson,32,Husband,Married,Male,Newspaper journalist,None,None
2,Smith Manors,Leigh,Thompson,8,Son,NA,Male,Student,None,NA
3,Smith Manors,Geraldine,Lewis,30,Head,Married,Female,"Conservator, museum/gallery",None,Methodist
3,Smith Manors,Hugh,Lewis,32,Husband,Married,Male,Community development worker,None,None
4,Smith Manors,Kim,Cooper,37,Head,Divorced,Female,Unemployed,None,Christian
4,Smith Manors,Oliver,Williams,49,Lodger,Divorced,Male,Building control surveyor,None,Methodist
5,Smith Manors,Heather,Wilson,63,Head,Married,Female,Emergency planning/management officer,None,Catholic
5,Smith Manors,Duncan,Wilson,65,Husband,Married,Male,"Lecturer, higher education",None,Catholic
5,Smith Manors,Joseph,Wilson,29,Son,Single,Male,Public affairs consultant,None,Catholic
5,Smith Manors,Joseph,Wilson,25,Son,Single,Male,"Investment banker, operational",None,Catholic
5,Smith Manors,Annette,Wilson,25,Daughter,Divorced,Female,"Designer, industrial/product",None,None
5,Smith Manors,Michael,Wilson,23,Son,Single,Male,Professor Emeritus,None,None
6,Smith Manors,Carly,Martin,58,Head,Married,Female,Banker,None,Methodist
6,Smith Manors,Terry,Martin,60,Husband,Married,Male,"Administrator, Civil Service",None,Methodist
7,Smith Manors,Frank,Webster,39,Head,Single,Male,Engineering geologist,None,Methodist
7,Smith Manors,Caroline,Nicholson,38,Partner,Single,Female,Tourism officer,None,Methodist
8,Smith Manors,Lisa,Clarke,32,Head,Single,Female,Multimedia specialist,None,Christian
9,Smith Manors,Molly,Wood,43,Head,Married,Female,"Conservation officer, historic buildings",None,None
9,Smith Manors,Graeme,Wood,45,Husband,Married,Male,"Investment banker, operational",None,None
9,Smith Manors,Kerry,Wood,10,Daughter,NA,Female,Student,None,NA
9,Smith Manors,Jason,Wood,7,Son,NA,Male,Student,None,NA
10,Smith Manors,Julia,Taylor,58,Head,Married,Female,"Solicitor, Scotland",None,None
10,Smith Manors,Leonard,Taylor,58,Husband,Married,Male,Counselling psychologist,None,None
10,Smith Manors,Kyle,Taylor,23,Son,Single,Male,Structural engineer,None,None
10,Smith Manors,Dylan,Taylor,19,Son,Single,Male,University Student,None,None
10,Smith Manors,Suzanne,Taylor,19,Daughter,Single,Female,University Student,None,None
11,Smith Manors,Callum,Young,60,Head,Divorced,Male,Fish farm manager,None,Christian
11,Smith Manors,Damian,Walker,16,Grandson,NA,Male,Student,None,NA
12,Smith Manors,Shannon,Lloyd,59,Head,Married,Female,"Accountant, chartered certified",None,Christian
12,Smith Manors,Kevin,Lloyd,61,Husband,Married,Male,"Journalist, newspaper",None,None
12,Smith Manors,Denis,Lloyd,27,Son,Single,Male,English as a second language teacher,None,Christian
12,Smith Manors,Yvonne,Lloyd,21,Daughter,Single,Female,University Student,None,None
12,Smith Manors,Chloe,Lloyd,16,Daughter,NA,Female,Student,None,NA
13,Smith Manors,Christine,Charlton,21,Head,Married,Female,University Student,None,Methodist
13,Smith Manors,Duncan,Charlton,23,Husband,Married,Male,Barrister's clerk,None,Methodist
13,Smith Manors,Eileen,Charlton,1,Daughter,NA,Female,Child,None,NA
14,Smith Manors,Rosie,North,44,Head,Married,Female,Technical author,None,Christian
14,Smith Manors,Stewart,North,46,Husband,Married,Male,Medical laboratory scientific officer,None,Christian
14,Smith Manors,Philip,North,8,Son,NA,Male,Student,None,NA
14,Smith Manors,Terry,North,6,Son,NA,Male,Student,None,NA
14,Smith Manors,Leonard,North,2,Son,NA,Male,Child,None,NA
15,Smith Manors,Rita,McCarthy,36,Head,Married,Female,"Physicist, medical",None,Catholic
15,Smith Manors,Shane,McCarthy,38,Husband,Married,Male,Social worker,None,Catholic
15,Smith Manors,Lawrence,McCarthy,16,Son,NA,Male,Student,None,NA
16,Smith Manors,Denise,Butcher,64,Head,Married,Female,Housing manager/officer,None,None
16,Smith Manors,Gregory,Butcher,66,Husband,Married,Male,Translator,None,None
16,Smith Manors,Callum,Butcher,26,Son,Divorced,Male,"Teacher, music",None,None
16,Smith Manors,Janet,Butcher,22,Daughter,Single,Female,University Student,None,None
16,Smith Manors,Thomas,Butcher,20,Son,Single,Male,University Student,None,None
17,Smith Manors,Marian,Day,65,Head,Married,Female,Warden/ranger,None,Christian
17,Smith Manors,Keith,Day,67,Husband,Married,Male,Occupational therapist,None,Christian
17,Smith Manors,Nicole,Powell,40,None,Married,Female,Bonds trader,None,Christian
17,Smith Manors,Eric,Powell,43,None,Married,Male,"Scientist, physiological",None,Christian
17,Smith Manors,Paul,Powell,13,None,NA,Male,Student,None,NA
18,Smith Manors,Steven,Smith-Jenkins,54,Head,Married,Male,TEFL teacher,None,Christian
18,Smith Manors,Anna,Smith-Jenkins,53,Wife,Married,Female,Technical brewer,None,None
19,Smith Manors,Katy,Harvey,41,Head,Single,Female,Clinical biochemist,None,Christian
19,Smith Manors,Georgina,Humphries-Harvey,7,Step-Daughter,NA,Female,Student,None,NA
20,Smith Manors,Kate,Griffin,44,Head,Married,Female,Forensic scientist,None,None
20,Smith Manors,Christian,Griffin,40,Husband,Married,Male,Clinical molecular geneticist,None,None
20,Smith Manors,Aimee,Stevens,17,Daughter,NA,Female,Student,None,NA
21,Smith Manors,Simon,Williams,24,Head,Single,Male,Museum/gallery curator,None,Catholic
22,Smith Manors,Abigail,Carr,29,Head,Divorced,Female,Unemployed,None,Christian
22,Smith Manors,Elizabeth,Brown,20,Lodger,Single,Female,University Student,None,Catholic
23,Smith Manors,Ashley,Arnold,28,Head,Single,Male,Press photographer,None,None
23,Smith Manors,Alan,Arnold,3,Son,NA,Male,Child,None,NA
23,Smith Manors,Clive,Arnold,1,Son,NA,Male,Child,None,NA
24,Smith Manors,Leonard,Lawrence,78,Head,Divorced,Male,Retired Interior and spatial designer,None,Methodist
24,Smith Manors,Alex,Roberts-Lawrence,35,Son,Single,Male,"Administrator, sports",None,Methodist
25,Smith Manors,Olivia,Holmes,70,Head,Married,Female,Retired Set designer,None,Methodist
25,Smith Manors,Callum,Holmes,70,Husband,Married,Male,Retired Speech and language therapist,None,Methodist
26,Smith Manors,Mohammed,Payne,39,Head,Single,Male,Bookseller,None,Catholic
26,Smith Manors,Lauren,Payne,5,Neice,NA,Female,Student,None,NA
26,Smith Manors,Leonard,Payne,4,Nephew,NA,Male,Child,None,NA
26,Smith Manors,Bruce,Davison,3,Nephew,NA,Male,Child,None,NA
26,Smith Manors,Ashley,Davison,2,Nephew,NA,Male,Child,None,NA
27,Smith Manors,Nicole,Lewis,52,Head,Married,Female,"Administrator, education",None,None
27,Smith Manors,Colin,Lewis,57,Husband,Married,Male,"Editor, commissioning",None,None
27,Smith Manors,Hayley,Lewis,28,Daughter,Single,Female,Magazine features editor,None,None
27,Smith Manors,Louis,Lewis,23,Son,Single,Male,Meteorologist,None,None
28,Smith Manors,Simon,Martin,69,Head,Divorced,Male,Retired Video editor,None,Catholic
29,Smith Manors,Olivia,Davies,44,Head,Married,Female,Fine artist,None,Catholic
29,Smith Manors,Henry,Davies,48,Husband,Married,Male,Ranger/warden,None,None
29,Smith Manors,Malcolm,Davies,31,Son,Divorced,Male,Forensic psychologist,None,Catholic
30,Smith Manors,Rebecca,Williams,88,Head,Married,Female,Retired Education administrator,None,Christian
30,Smith Manors,Cameron,Williams,94,Husband,Married,Male,Retired Forest/woodland manager,None,Christian
31,Smith Manors,Joanne,Martin,48,Head,Divorced,Female,Freight forwarder,None,None
31,Smith Manors,Mary,Martin,27,Daughter,Single,Female,"Chemist, analytical",None,None
31,Smith Manors,Carolyn,Martin,25,Daughter,Single,Female,Hotel manager,None,None
31,Smith Manors,Valerie,Walker-Martin,23,Daughter,Single,Female,Probation officer,None,None
31,Smith Manors,Bradley,Walker-Martin,19,Son,Single,Male,University Student,None,None
32,Smith Manors,Tony,Thomson,52,Head,Married,Male,Health physicist,None,Christian
32,Smith Manors,Hayley,Thomson,48,Wife,Married,Female,Banker,None,None
32,Smith Manors,Brenda,Thomson,14,Step-Daughter,NA,Female,Student,None,NA
32,Smith Manors,William,Smith,11,Step-Son,NA,Male,Student,None,NA
32,Smith Manors,Beth,Smith,9,Step-Daughter,NA,Female,Student,None,NA
33,Smith Manors,Carol,Baker,47,Head,Married,Female,Secretary/administrator,None,Christian
33,Smith Manors,Kenneth,Baker,49,Husband,Married,Male,"Investment banker, corporate",None,None
33,Smith Manors,Francesca,Baker,61,Cousin,Single,Female,Fitness centre manager,None,Christian
33,Smith Manors,Sandra,Harrison,61,Cousin,Widowed,Female,Historic buildings inspector/conservation officer,None,None
33,Smith Manors,Justin,Harrison,50,Cousin,Divorced,Male,Geographical information systems officer,None,None
34,Smith Manors,Abbie,Field,63,Head,Single,Female,Museum/gallery exhibitions officer,None,None
34,Smith Manors,Megan,Field,30,Daughter,Divorced,Female,"Engineer, broadcasting (operations)",None,None
35,Smith Manors,Michelle,Jackson,19,Head,Single,Female,University Student,None,Methodist
35,Smith Manors,Dennis,Davies,22,None,Single,Male,University Student,None,Christian
36,Smith Manors,Sara,Kelly,28,Head,Single,Female,Materials engineer,None,None
36,Smith Manors,Wayne,Moore,53,None,Single,Male,Retail manager,None,Christian
36,Smith Manors,Frank,Jackson,35,None,Single,Male,Science writer,None,Catholic
37,Smith Manors,Jennifer,Barber,27,Head,Single,Female,"Psychologist, occupational",None,Christian
37,Smith Manors,Sara,Barber,6,Daughter,NA,Female,Student,None,NA
38,Smith Manors,Bernard,Hurst,34,Head,Divorced,Male,Nature conservation officer,None,None
39,Smith Manors,Simon,Turner,77,Head,Married,Male,Retired Dancer,None,Methodist
39,Smith Manors,Natalie,Turner,75,Wife,Married,Female,"Retired Teacher, adult education",None,None
40,Smith Manors,Harry,Davies,73,Head,Married,Male,Retired Careers adviser,None,Christian
40,Smith Manors,Leah,Davies,71,Wife,Married,Female,Retired Ceramics designer,None,None
41,Smith Manors,Victor,Wilkins,73,Head,Widowed,Male,Retired Sports administrator,None,Christian
41,Smith Manors,Dylan,Henderson,15,Grandson,NA,Male,Student,None,NA
42,Smith Manors,Diane,Parsons,65,Head,Married,Female,Insurance account manager,None,Christian
42,Smith Manors,Christopher,Parsons,70,Husband,Married,Male,"Retired Engineer, production",None,Christian
43,Smith Manors,Ellie,Skinner,45,Head,Married,Female,Armed forces operational officer,None,Methodist
43,Smith Manors,Leigh,Skinner,47,Husband,Married,Male,"Research officer, political party",None,Methodist
43,Smith Manors,Carly,Singh-Skinner,17,Daughter,NA,Female,Student,None,NA
43,Smith Manors,Bethan,Singh-Skinner,13,Daughter,NA,Female,Student,None,NA
44,Smith Manors,James,Hobbs,44,Head,Married,Male,Musician,None,Catholic
44,Smith Manors,Maria,Hobbs,41,Wife,Married,Female,Engineering geologist,None,Catholic
45,Smith Manors,Bethany,O'Neill,65,Head,Married,Female,"Designer, industrial/product",None,None
45,Smith Manors,Paul,O'Neill,64,Husband,Married,Male,Media planner,None,None
46,Smith Manors,Ryan,Parker,57,Head,Widowed,Male,Horticultural consultant,None,Christian
46,Smith Manors,Maurice,Parker,25,Son,Single,Male,Magazine journalist,None,None
47,Smith Manors,Marie,Cooper-Mitchell,49,Head,Divorced,Female,Information officer,None,None
47,Smith Manors,Darren,Cooper-Mitchell,15,Son,NA,Male,Student,None,NA
47,Smith Manors,Christopher,Cooper-Mitchell,13,Son,NA,Male,Student,None,NA
48,Smith Manors,Howard,Dyer,27,Head,Single,Male,Bookseller,None,Methodist
49,Smith Manors,Mary,Forster,54,Head,Married,Female,"Engineer, electrical",None,Christian
49,Smith Manors,Ricky,Forster,56,Husband,Married,Male,Architectural technologist,None,None
50,Smith Manors,Simon,Lewis,67,Head,Married,Male,Automotive engineer,None,Christian
50,Smith Manors,Paula,Lewis,65,Wife,Married,Female,"Geologist, engineering",None,Christian
50,Smith Manors,Aaron,Lewis,19,Grandson,Single,Male,University Student,None,Christian
50,Smith Manors,Kevin,Jones-Lewis,18,Grandson,NA,Male,Student,None,NA
50,Smith Manors,Harry,Williams,14,Grandson,NA,Male,Student,None,NA
51,Smith Manors,Ellie,Singh,51,Head,Single,Female,Soil scientist,None,Methodist
52,Smith Manors,Dorothy,Gregory,37,Head,Single,Female,"Production assistant, television",None,None
52,Smith Manors,Daniel,Walker,38,Partner,Single,Male,Water quality scientist,None,None
52,Smith Manors,Iain,Gregory,15,Son,NA,Male,Student,None,NA
53,Smith Manors,Arthur,Macdonald,34,Head,Single,Male,Ranger/warden,None,Methodist
53,Smith Manors,Charlene,Rogers,38,Partner,Single,Female,Marine scientist,None,Methodist
54,Smith Manors,Christopher,Bull-Allen,29,Head,Single,Male,Barrister,None,Catholic
54,Smith Manors,Georgia,Sykes,27,Partner,Single,Female,Colour technologist,None,None
54,Smith Manors,Charlotte,Bull-Allen,1,Daughter,NA,Female,Child,None,NA
55,Smith Manors,Glen,Bevan,58,Head,Married,Male,"Radiographer, diagnostic",None,Christian
55,Smith Manors,Sara,Bevan,54,Wife,Married,Female,Publishing rights manager,None,None
56,Smith Manors,Amber,Kay,31,Head,Single,Female,Purchasing manager,None,Sikh
56,Smith Manors,Derek,Simpson,30,Partner,Single,Male,Psychotherapist,None,None
57,Smith Manors,Katy,Hopkins,43,Head,Single,Female,Radio broadcast assistant,None,None
57,Smith Manors,Josh,O'Sullivan,49,Partner,Single,Male,Charity officer,None,None
58,Smith Manors,Lucy,Burgess,53,Head,Divorced,Female,Unemployed,None,Christian
58,Smith Manors,Margaret,Burgess,27,Daughter,Single,Female,Naval architect,None,None
58,Smith Manors,Lee,Burgess,23,Son,Single,Male,Conference centre manager,None,Christian
58,Smith Manors,Michelle,Burgess,23,Daughter,Single,Female,Multimedia specialist,None,None
59,Smith Manors,Joseph,Evans,69,Head,Married,Male,Retired Arboriculturist,None,Christian
59,Smith Manors,Joanna,Evans,73,Wife,Married,Female,"Retired Teacher, English as a foreign language",None,Christian
60,Smith Manors,Tracy,Morris,29,Head,Single,Female,Records manager,None,None
61,Smith Manors,Joan,Fox,62,Head,Married,Female,Unemployed,None,Christian
61,Smith Manors,Toby,Fox,64,Husband,Married,Male,"Engineer, communications",None,None
61,Smith Manors,Joanna,Fox,33,Daughter,Single,Female,Artist,None,None
61,Smith Manors,Joan,Fox,33,Daughter,Divorced,Female,Clinical molecular geneticist,None,Christian
61,Smith Manors,Timothy,Fox,33,Son,Divorced,Male,Building control surveyor,None,None
62,Smith Manors,Lucy,Mellor,43,Head,Divorced,Female,"Merchandiser, retail",None,None
62,Smith Manors,Annette,Mellor,21,Daughter,Single,Female,University Student,None,None
63,Smith Manors,Sophie,Bartlett,27,Head,Married,Female,Exhibition designer,None,None
63,Smith Manors,Jason,Bartlett,30,Husband,Married,Male,Occupational therapist,None,None
64,Smith Manors,Frank,Kerr-White,59,Head,Married,Male,Counsellor,None,Christian
64,Smith Manors,Jade,Kerr-White,54,Wife,Married,Female,"Investment banker, corporate",None,None
65,Smith Manors,Grace,West,72,Head,Widowed,Female,Retired Outdoor activities/education manager,None,None
65,Smith Manors,Lisa,West,9,Granddaughter,NA,Female,Student,None,NA
66,Smith Manors,Heather,Jackson,86,Head,Married,Female,Retired Animal technologist,None,Christian
66,Smith Manors,Darren,Jackson,88,Husband,Married,Male,Retired Radio broadcast assistant,None,None
67,Smith Manors,Karl,King,83,Head,Widowed,Male,Retired Chief Technology Officer,None,Methodist
68,Smith Manors,Dominic,Campbell,37,Head,Married,Male,Forensic scientist,None,Methodist
68,Smith Manors,Sian,Campbell,38,Wife,Married,Female,Charity fundraiser,None,Methodist
69,Smith Manors,Christopher,Simpson,49,Head,Married,Male,Illustrator,None,Catholic
69,Smith Manors,Jasmine,Simpson,45,Wife,Married,Female,Environmental consultant,None,Catholic
70,Smith Manors,Wendy,Wright,52,Head,Single,Female,"Engineer, civil (contracting)",None,Christian
70,Smith Manors,Richard,Evans,53,Partner,Single,Male,Television floor manager,None,Christian
1,Spencer Avenue,Gareth,Briggs,31,Head,Single,Male,Unemployed,None,Catholic
1,Spencer Avenue,Thomas,Briggs,0,Son,NA,Male,Child,None,NA
1,Spencer Avenue,Keith,Sanders,34,Lodger,Single,Male,Environmental health practitioner,None,Methodist
2,Spencer Avenue,Jill,Harris,33,Head,Single,Female,Financial adviser,None,None
2,Spencer Avenue,Russell,Glover,35,Partner,Single,Male,Film/video editor,None,None
2,Spencer Avenue,Chloe,Harris,16,Daughter,NA,Female,Student,None,NA
3,Spencer Avenue,Katie,Parry-Hopkins,89,Head,Married,Female,"Retired Teacher, English as a foreign language",None,None
3,Spencer Avenue,Lee,Parry-Hopkins,90,Husband,Married,Male,Retired Chartered accountant,None,None
4,Spencer Avenue,Grace,Ahmed,82,Head,Widowed,Female,Retired Licensed conveyancer,None,Christian
5,Spencer Avenue,Rachael,Burke,60,Head,Married,Female,Actor,None,None
5,Spencer Avenue,Glenn,Burke,64,Husband,Married,Male,Stage manager,None,None
5,Spencer Avenue,David,Burke,36,Son,Single,Male,"Production designer, theatre/television/film",None,None
5,Spencer Avenue,Megan,Burke,35,Daughter,Single,Female,Unemployed,None,None
5,Spencer Avenue,Garry,Burke,31,Son,Single,Male,"Surveyor, quantity",None,None
6,Spencer Avenue,Stewart,Jones,33,Head,Married,Male,Advice worker,None,Muslim
6,Spencer Avenue,Sara,Jones,28,Wife,Married,Female,"Engineer, communications",None,Muslim
7,Spencer Avenue,Connor,Howard,47,Head,Married,Male,Product designer,None,Methodist
7,Spencer Avenue,Lauren,Howard,45,Wife,Married,Female,"Teacher, adult education",None,None
8,Spencer Avenue,Joanna,Wilson,67,Head,Married,Female,Financial adviser,None,None
8,Spencer Avenue,Victor,Wilson,72,Husband,Married,Male,"Retired Nurse, children's",None,None
9,Spencer Avenue,Lindsey,Atkins,35,Head,Single,Female,Passenger transport manager,None,Christian
9,Spencer Avenue,Billy,Atkins,6,Nephew,NA,Male,Student,None,NA
9,Spencer Avenue,Lesley,Fitzgerald,3,Neice,NA,Female,Child,None,NA
9,Spencer Avenue,Nigel,Singh,63,Sibling,Single,Male,Product manager,None,Catholic
9,Spencer Avenue,Kelly,Bird,24,Lodger,Single,Female,Insurance risk surveyor,None,None
10,Spencer Avenue,Brandon,Cunningham,40,Head,Single,Male,"Psychotherapist, child",None,Christian
10,Spencer Avenue,Alex,Cunningham,9,Son,NA,Male,Student,None,NA
11,Spencer Avenue,Gillian,Barber,62,Head,Married,Female,Agricultural consultant,None,None
11,Spencer Avenue,Kenneth,Barber,60,Husband,Married,Male,Haematologist,None,None
12,Spencer Avenue,Hollie,Wells,53,Head,Married,Female,Metallurgist,None,None
12,Spencer Avenue,Benjamin,Wells,53,Husband,Married,Male,"Nurse, mental health",None,None
12,Spencer Avenue,Leon,Wells,35,Son,Single,Male,Waste management officer,None,None
13,Spencer Avenue,Louise,Hutchinson,50,Head,Divorced,Female,Unemployed,None,None
13,Spencer Avenue,Cameron,Hutchinson,27,Son,Single,Male,Mudlogger,None,None
14,Spencer Avenue,Eileen,Chapman,65,Head,Married,Female,Unemployed,None,None
14,Spencer Avenue,Tom,Chapman,67,Husband,Married,Male,Broadcast journalist,None,None
15,Spencer Avenue,Marilyn,Walker,65,Head,Married,Female,"Secretary, company",None,Christian
15,Spencer Avenue,Harry,Walker,67,Husband,Married,Male,Unemployed,None,Christian
15,Spencer Avenue,Thomas,Walker,33,Son,Single,Male,Quantity surveyor,None,Christian
16,Spencer Avenue,Jack,Wood,25,Head,Married,Male,Museum/gallery exhibitions officer,None,None
16,Spencer Avenue,Joanna,Wood,23,Wife,Married,Female,"Administrator, Civil Service",None,None
17,Spencer Avenue,Bethany,Green,51,Head,Single,Female,Trade union research officer,None,None
17,Spencer Avenue,Scott,Baldwin,54,Partner,Single,Male,"Scientist, research (maths)",None,None
17,Spencer Avenue,Jay,Green,23,Son,Widowed,Male,Economist,None,None
17,Spencer Avenue,Lee,Green,17,Son,NA,Male,Student,None,NA
18,Spencer Avenue,Gary,Lee,46,Head,Single,Male,Clinical molecular geneticist,None,Catholic
18,Spencer Avenue,Gregory,Hutchinson,36,None,Single,Male,Radiation protection practitioner,None,None
19,Spencer Avenue,Hayley,Dunn,26,Head,Single,Female,Unemployed,None,Christian
19,Spencer Avenue,Yvonne,Pritchard,21,Lodger,Single,Female,University Student,None,None
20,Spencer Avenue,Duncan,Leach,37,Head,Single,Male,Data scientist,None,Catholic
21,Spencer Avenue,Frances,Pearson,78,Head,Divorced,Female,Retired Fisheries officer,Deaf,Christian
22,Spencer Avenue,Ian,Thompson-Bennett,36,Head,Married,Male,"Surveyor, insurance",None,Methodist
22,Spencer Avenue,Harriet,Thompson-Bennett,35,Wife,Married,Female,Editorial assistant,None,None
22,Spencer Avenue,Max,Thompson-Bennett,18,Son,Single,Male,Student,None,None
22,Spencer Avenue,Beth,Thompson-Bennett,15,Daughter,NA,Female,Student,None,NA
22,Spencer Avenue,Gail,Thompson-Bennett,8,Daughter,NA,Female,Student,None,NA
23,Spencer Avenue,Gail,Hughes,42,Head,Single,Female,Food technologist,None,Christian
23,Spencer Avenue,Yvonne,Hughes,14,Daughter,NA,Female,Student,None,NA
24,Spencer Avenue,Sara,Andrews,55,Head,Divorced,Female,Transport planner,None,Christian
24,Spencer Avenue,Katie,Andrews,16,Daughter,NA,Female,Student,None,NA
25,Spencer Avenue,Sandra,Curtis,50,Head,Single,Female,Air broker,None,Christian
26,Spencer Avenue,Paula,Wilson,58,Head,Married,Female,Furniture designer,None,None
26,Spencer Avenue,Louis,Wilson,63,Husband,Married,Male,Animal nutritionist,None,None
26,Spencer Avenue,Ian,Wilson,31,Son,Single,Male,"Pharmacist, community",None,None
26,Spencer Avenue,Stanley,Wilson,29,Son,Single,Male,Press sub,None,None
26,Spencer Avenue,Ronald,Wilson,26,Son,Divorced,Male,Lawyer,None,None
26,Spencer Avenue,Paige,Wilson,0,Daughter,NA,Female,Child,None,NA
27,Spencer Avenue,Keith,Cunningham,40,Head,Single,Male,Environmental consultant,None,Methodist
27,Spencer Avenue,Yvonne,James,36,None,Single,Female,Fast food restaurant manager,None,None
27,Spencer Avenue,George,Smith,29,None,Single,Male,Broadcast engineer,None,None
27,Spencer Avenue,Alex,James,20,None,Divorced,Male,Water quality scientist,None,None
28,Spencer Avenue,Trevor,Spencer,43,Head,Married,Male,Location manager,None,Muslim
28,Spencer Avenue,Eleanor,Spencer,41,Wife,Married,Female,Research scientist (medical),None,None
28,Spencer Avenue,Brett,Spencer,12,Son,NA,Male,Student,None,NA
29,Spencer Avenue,Lynne,James,83,Head,Married,Female,Retired Prison officer,None,Christian
29,Spencer Avenue,Jonathan,James,84,Husband,Married,Male,"Retired Psychologist, occupational",None,Christian
30,Spencer Avenue,Joel,Ward,38,Head,Single,Male,Geophysical data processor,None,Catholic
31,Spencer Avenue,Rosemary,Turner,30,Head,Single,Female,Fashion designer,None,Catholic
31,Spencer Avenue,Eric,Turner,1,Son,NA,Male,Child,None,NA
31,Spencer Avenue,Amelia,Turner,0,Daughter,NA,Female,Child,None,NA
32,Spencer Avenue,Sylvia,Holmes,31,Head,Married,Female,Legal executive,None,Christian
32,Spencer Avenue,Liam,Holmes,35,Husband,Married,Male,Naval architect,None,None
32,Spencer Avenue,Jenna,Holmes,9,Daughter,NA,Female,Student,None,NA
32,Spencer Avenue,Fiona,Holmes,7,Daughter,NA,Female,Student,None,NA
33,Spencer Avenue,Owen,Shaw,45,Head,Single,Male,"Horticulturist, commercial",None,Christian
34,Spencer Avenue,Alice,Palmer,30,Head,Divorced,Female,Unemployed,None,None
34,Spencer Avenue,Norman,Palmer,5,Son,NA,Male,Student,None,NA
35,Spencer Avenue,Sara,Moore,24,Head,Single,Female,Recycling officer,None,None
35,Spencer Avenue,Mathew,Collins,29,Partner,Single,Male,Chiropractor,None,None
36,Spencer Avenue,Holly,Black,49,Head,Married,Female,Advertising art director,None,Muslim
36,Spencer Avenue,Frederick,Black,53,Husband,Married,Male,"Editor, magazine features",None,Muslim
36,Spencer Avenue,Jenna,Black,13,Daughter,NA,Female,Student,None,NA
